users,response,throughput,goodput,badput,drop,utilization
5,0.678962,1.2968,1.2968,0,0,0.260258
10,0.706083,2.5709,2.5709,0,0,0.514652
15,0.846764,3.6922,3.6922,0,0,0.739151
20,1.20537,4.4316,4.4316,0,0,0.886219
25,1.85319,4.6984,4.6984,0,0,0.938536
30,2.67758,4.7282,4.7282,0,0,0.946095
35,3.51561,4.7325,4.7325,0,0,0.946495
40,4.37161,4.7254,4.7254,0,0,0.946516
45,5.21058,4.7284,4.7284,0,0,0.946513
50,6.06035,4.7273,4.7273,0,0,0.946511
55,6.8985,4.7312,4.7312,0,0,0.946506
60,7.75066,4.7298,4.7298,0,0,0.94651
65,8.58641,4.7325,4.7325,0,0,0.946512
70,9.44635,4.7291,4.7291,0,0,0.946516
75,10.2863,4.73,4.73,0,0,0.946513
80,11.1193,4.7328,4.7328,0,0,0.946513
85,11.9751,4.7298,4.7298,0,0,0.946518
90,12.8128,4.7321,4.7321,0,0,0.946516
95,13.6747,4.7284,4.7284,0,0,0.946519
100,14.5067,4.7313,4.7313,0,0,0.94652
