users,mean_response,ci_low,ci_high,throughput,goodput,badput,drop,utilization
5,0.500665,0.498911,0.502419,1.1498,0.8632,0.2866,0,0.230237
10,0.512772,0.510523,0.515022,2.287,1.7092,0.5778,0,0.458406
15,0.569813,0.567708,0.571917,3.3396,2.4443,0.8953,0,0.669381
20,0.72079,0.71732,0.724261,4.1518,2.9023,1.2495,0,0.831483
25,1.04312,1.03896,1.04728,4.4814,2.9347,1.5467,0,0.897
30,1.47541,1.47095,1.47988,4.3328,2.5818,1.751,0,0.867364
35,1.81929,1.81369,1.82488,4.0497,2.1018,1.9479,0,0.81053
40,2.05311,2.04759,2.05863,3.7985,1.6659,2.1326,0,0.759324
45,2.26727,2.26012,2.27441,3.567,1.3222,2.2448,0,0.714591
50,2.42003,2.40754,2.43252,3.3786,1.0205,2.3581,0,0.675875
55,2.37225,2.36234,2.38217,3.2036,0.726,2.4776,0,0.64141
60,2.76337,2.75474,2.772,3.0535,0.6768,2.3767,0,0.610737
65,3.23075,3.22378,3.23772,2.9115,0.6456,2.2659,0,0.583087
70,3.6422,3.62751,3.65689,2.7834,0.5185,2.2649,0,0.558005
75,3.82238,3.76727,3.8775,2.6681,0.1148,2.5533,0,0.535177
80,2.02483,1.82705,2.2226,2.5693,0.0047,2.5646,0,0.514351
85,0.0290374,-0.00213319,0.060208,2.4739,0.0022,2.4717,0,0.495143
90,0,0,0,2.3847,0.0022,2.3825,0,0.477401
95,0,0,0,2.2966,0.0019,2.2947,0,0.460959
100,0,0,0,2.2273,0.0017,2.2256,0,0.445653
