active_users,cpu_util_percent,finished_users,http_200,max_rt_ms,mean_rt_ms,requests,timestamp
78,2.919336713352947,0,77,3488.457,926.5243116883121,77,1769855903
176,1.7193775100401605,0,265,3488.457,123.87240000000008,265,1769855913
289,3.059164879525672,0,300,3488.457,1379.4089800000008,300,1769855923
378,1.6321129245699162,0,300,4955.351,3919.72892666667,300,1769855933
462,3.1072375899962106,0,300,8179.637,6522.623873333335,300,1769855943
561,2.456538170823885,0,272,10439.517,8634.62555147059,272,1769855953
660,2.809448818897638,0,298,13434.796,11007.093828859059,298,1769855963
684,2.319717599596571,84,275,14735.67,13362.01451636364,275,1769855973
653,1.5074429998115697,144,299,18071.579,15810.907973244148,299,1769855983
633,3.734886370829905,115,293,18408.94,16367.394805460739,293,1769855993
649,3.2564021498577302,8,288,18408.94,15853.28802777777,288,1769856003
649,2.410934632664684,0,300,18408.94,16042.180223333346,300,1769856013
649,1.5562976498015249,0,300,18408.94,15913.929760000005,300,1769856023
649,1.6764353690048528,0,290,18408.94,15871.020013793112,290,1769856033
649,2.913664517760081,0,296,18408.94,15893.73547297297,296,1769856043
649,2.6295875898600074,0,298,18408.94,15950.668499999996,298,1769856053
649,1.1544011544011543,0,300,18408.94,15958.904566666666,300,1769856063
649,1.072503763171099,0,294,18408.94,15913.240639455784,294,1769856073
649,1.3880165808315537,0,289,18408.94,15919.205474048435,289,1769856083
649,1.2927518042045811,0,298,18408.94,16980.00751342281,298,1769856093
649,1.0795882500627667,0,300,18408.94,16928.629956666646,300,1769856103
649,1.0536218250235183,0,300,20884.97,16139.163503333315,300,1769856113
649,0.9725795319068833,0,300,20884.97,15995.34433666666,300,1769856123
649,1.1366490831449385,0,300,20884.97,15975.532626666663,300,1769856133
649,1.2307692307692308,0,300,20884.97,16058.818143333343,300,1769856143
649,0.9480160723254647,0,290,20884.97,16170.016637931036,290,1769856153
649,0.9535759096612296,0,297,20884.97,16160.763882154897,297,1769856163
649,1.154039136979428,0,249,20884.97,16337.108477911652,249,1769856173
649,0.9352247049962339,0,289,20884.97,16047.194910034586,289,1769856183
649,0.928656585304637,0,274,20884.97,15864.59683576643,274,1769856193
649,1.4244477911646587,0,296,20884.97,15961.523064189201,296,1769856203
649,1.0106716886377902,0,300,20884.97,16036.511700000008,300,1769856213
649,1.1245837783501915,0,300,20884.97,16029.159630000004,300,1769856223
649,0.9664261060558519,0,300,20884.97,16041.331676666668,300,1769856233
649,0.897226753670473,0,300,21478.799,16121.966213333333,300,1769856243
649,1.3624662522760094,0,300,21478.799,16102.927356666669,300,1769856253
649,0.9789770944461876,0,298,21478.799,16186.800832214762,298,1769856263
649,0.8912320341429737,0,290,21478.799,16273.84816206896,290,1769856273
649,0.8977336932638583,0,297,21478.799,16177.552077441065,297,1769856283
649,0.9475401606425703,0,300,21478.799,16037.57541666667,300,1769856293
649,1.2732860816659348,0,300,21478.799,16109.009590000007,300,1769856303
649,3.2711747347271927,0,288,21478.799,16219.766166666668,288,1769856313
649,1.1242306242934306,0,293,21478.799,16338.226819112646,293,1769856323
649,1.1486316846598041,0,300,21478.799,16255.313713333331,300,1769856333
649,1.3438834463702587,0,198,21478.799,16295.406020202014,198,1769856343
649,1.2175222794025355,0,301,21478.799,16707.695591362106,301,1769856353
642,0.972640562248996,7,299,21478.799,16748.14780267556,299,1769856363
607,0.9920261191687072,35,300,21478.799,16192.034083333327,300,1769856373
590,1.07891105256555,17,300,21478.799,16655.032116666665,300,1769856383
567,1.2998430141287285,23,300,21478.799,15137.406926666667,300,1769856393
543,1.6959798994974875,24,294,21478.799,14153.17508843538,294,1769856403
529,1.0170768458061277,14,233,21478.799,13352.438390756299,238,1769856413
498,1.016438699962354,31,314,21478.799,12584.716785074634,335,1769856423
465,1.2682865574182207,33,287,21478.799,11485.709543554,287,1769856433
434,1.1924187272499058,31,300,21478.799,10798.572313333336,300,1769856443
395,1.0230339546852445,39,283,21478.799,9220.659225490208,306,1769856453
333,1.4125180488417353,62,297,21478.799,7601.994717171715,297,1769856463
256,1.2303056933023666,77,296,21478.799,5303.979057432431,296,1769856473
112,1.1985441767068272,144,207,21478.799,2071.7383671497605,207,1769856483
0,3.0396282107643033,112,25,21478.799,1818.4912800000002,25,1769856491
